,Medicine,Physical Exercise,Ext Temperature,Color MCGDM,Weight MCGDM,Color FCS,MV FCS
0,0,18,16,Red,0.3572935036856673,Orange,0.3333333333333333
1,0,18,18,Red,0.35376487102437243,Orange,0.4000000000000001
2,0,18,20,Red,0.3499641556227075,Orange,0.4857142857142859
3,0,18,22,Red,0.3508273377099593,Orange,0.4666666666666667
4,0,18,24,Red,0.3515178575842904,Orange,0.4545454545454546
5,0,18,26,Red,0.3515178575842904,Orange,0.4545454545454546
6,0,18,28,Red,0.3516617161372673,Orange,0.4400000000000001
7,0,18,30,Red,0.3499641556227075,Orange,0.4857142857142859
8,0,18,32,Red,0.3499641556227075,Orange,0.4857142857142859
9,0,18,34,Red,0.3499641556227075,Orange,0.4857142857142859
10,0,18,36,Red,0.3499641556227075,Orange,0.4857142857142859
11,0,18,38,Red,0.3499641556227075,Orange,0.4857142857142859
12,0,24,14,Red,0.3506974190024297,Orange,0.36000000000000004
13,0,24,16,Red,0.34747817973365985,Orange,0.4400000000000001
14,0,24,18,Red,0.3442153851362674,Orange,0.5200000000000001
15,0,30,14,Red,0.3506974190024297,Orange,0.36000000000000004
16,0,30,16,Red,0.34747817973365985,Orange,0.4400000000000001
17,0,30,18,Red,0.3442153851362674,Orange,0.5200000000000001
18,0,36,12,Red,0.3509845620603309,Orange,0.37142857142857133
19,0,36,14,Red,0.34788796014631,Orange,0.4285714285714287
20,0,36,16,Red,0.3447470027000993,Orange,0.4857142857142858
21,0,42,0,Red,0.3518589591214785,Orange,0.36000000000000004
22,0,42,2,Red,0.3518589591214785,Orange,0.36000000000000004
23,0,42,4,Red,0.3518589591214785,Orange,0.36000000000000004
24,0,42,6,Red,0.3518589591214785,Orange,0.36000000000000004
25,0,42,8,Red,0.3518589591214785,Orange,0.36000000000000004
26,0,42,10,Red,0.3518589591214785,Orange,0.36000000000000004
27,0,42,12,Red,0.3484081906699436,Orange,0.4285714285714286
28,0,42,14,Red,0.3451932676000022,Orange,0.4666666666666667
29,0,42,16,Red,0.3421264649420799,Orange,0.5111111111111113
30,0,48,0,Red,0.3492261307465847,Orange,0.4400000000000001
31,0,48,2,Red,0.3492261307465847,Orange,0.4400000000000001
32,0,48,4,Red,0.3492261307465847,Orange,0.4400000000000001
33,0,48,6,Red,0.3492261307465847,Orange,0.4400000000000001
34,0,48,8,Red,0.3492261307465847,Orange,0.4400000000000001
35,0,48,10,Red,0.3492261307465847,Orange,0.4400000000000001
36,0,48,12,Red,0.3457916814338886,Orange,0.4857142857142857
37,0,48,14,Red,0.3425903718979877,Orange,0.5111111111111113
38,0,54,0,Red,0.3465534813676616,Orange,0.5200000000000001
39,0,54,2,Red,0.3465534813676616,Orange,0.5200000000000001
40,0,54,4,Red,0.3465534813676616,Orange,0.5200000000000001
41,0,54,6,Red,0.3465534813676616,Orange,0.5200000000000001
42,0,54,8,Red,0.3465534813676616,Orange,0.5200000000000001
43,0,54,10,Red,0.3465534813676616,Orange,0.5200000000000001
44,0,54,12,Red,0.34313377682060664,Orange,0.5428571428571429
45,0,60,0,Red,0.3438397409142977,Orange,0.6000000000000001
46,0,60,2,Red,0.3438397409142977,Orange,0.6000000000000001
47,0,60,4,Red,0.3438397409142977,Orange,0.6000000000000001
48,0,60,6,Red,0.3438397409142977,Orange,0.6000000000000001
49,0,60,8,Red,0.3438397409142977,Orange,0.6000000000000001
50,0,60,10,Red,0.3438397409142977,Orange,0.6000000000000001
51,0,66,0,Red,0.3438397409142977,Orange,0.6000000000000001
52,0,66,2,Red,0.3438397409142977,Orange,0.6000000000000001
53,0,66,4,Red,0.3438397409142977,Orange,0.6000000000000001
54,0,66,6,Red,0.3438397409142977,Orange,0.6000000000000001
55,0,66,8,Red,0.3438397409142977,Orange,0.6000000000000001
56,0,66,10,Red,0.3438397409142977,Orange,0.6000000000000001
57,0,72,0,Red,0.3438397409142977,Orange,0.6000000000000001
58,0,72,2,Red,0.3438397409142977,Orange,0.6000000000000001
59,0,72,4,Red,0.3438397409142977,Orange,0.6000000000000001
60,0,72,6,Red,0.3438397409142977,Orange,0.6000000000000001
61,0,72,8,Red,0.3438397409142977,Orange,0.6000000000000001
62,0,72,10,Red,0.3438397409142977,Orange,0.6000000000000001
63,0,78,0,Red,0.3438397409142977,Orange,0.6000000000000001
64,0,78,2,Red,0.3438397409142977,Orange,0.6000000000000001
65,0,78,4,Red,0.3438397409142977,Orange,0.6000000000000001
66,0,78,6,Red,0.3438397409142977,Orange,0.6000000000000001
67,0,78,8,Red,0.3438397409142977,Orange,0.6000000000000001
68,0,78,10,Red,0.3438397409142977,Orange,0.6000000000000001
69,0,84,0,Red,0.3438397409142977,Orange,0.6000000000000001
70,0,84,2,Red,0.3438397409142977,Orange,0.6000000000000001
71,0,84,4,Red,0.3438397409142977,Orange,0.6000000000000001
72,0,84,6,Red,0.3438397409142977,Orange,0.6000000000000001
73,0,84,8,Red,0.3438397409142977,Orange,0.6000000000000001
74,0,84,10,Red,0.3438397409142977,Orange,0.6000000000000001
75,0,90,0,Red,0.3438397409142977,Orange,0.6000000000000001
76,0,90,2,Red,0.3438397409142977,Orange,0.6000000000000001
77,0,90,4,Red,0.3438397409142977,Orange,0.6000000000000001
78,0,90,6,Red,0.3438397409142977,Orange,0.6000000000000001
79,0,90,8,Red,0.3438397409142977,Orange,0.6000000000000001
80,0,90,10,Red,0.3438397409142977,Orange,0.6000000000000001
81,0,96,0,Red,0.3438397409142977,Orange,0.6000000000000001
82,0,96,2,Red,0.3438397409142977,Orange,0.6000000000000001
83,0,96,4,Red,0.3438397409142977,Orange,0.6000000000000001
84,0,96,6,Red,0.3438397409142977,Orange,0.6000000000000001
85,0,96,8,Red,0.3438397409142977,Orange,0.6000000000000001
86,0,96,10,Red,0.3438397409142977,Orange,0.6000000000000001
87,0,102,0,Red,0.3438397409142977,Orange,0.6000000000000001
88,0,102,2,Red,0.3438397409142977,Orange,0.6000000000000001
89,0,102,4,Red,0.3438397409142977,Orange,0.6000000000000001
90,0,102,6,Red,0.3438397409142977,Orange,0.6000000000000001
91,0,102,8,Red,0.3438397409142977,Orange,0.6000000000000001
92,0,102,10,Red,0.3438397409142977,Orange,0.6000000000000001
93,0,108,0,Red,0.3438397409142977,Orange,0.6000000000000001
94,0,108,2,Red,0.3438397409142977,Orange,0.6000000000000001
95,0,108,4,Red,0.3438397409142977,Orange,0.6000000000000001
96,0,108,6,Red,0.3438397409142977,Orange,0.6000000000000001
97,0,108,8,Red,0.3438397409142977,Orange,0.6000000000000001
98,0,108,10,Red,0.3438397409142977,Orange,0.6000000000000001
99,0,114,0,Red,0.3438397409142977,Orange,0.6000000000000001
100,0,114,2,Red,0.3438397409142977,Orange,0.6000000000000001
101,0,114,4,Red,0.3438397409142977,Orange,0.6000000000000001
102,0,114,6,Red,0.3438397409142977,Orange,0.6000000000000001
103,0,114,8,Red,0.3438397409142977,Orange,0.6000000000000001
104,0,114,10,Red,0.3438397409142977,Orange,0.6000000000000001
105,5,18,16,Red,0.3572935036856673,Orange,0.3333333333333333
106,5,18,18,Red,0.35376487102437243,Orange,0.4000000000000001
107,5,18,20,Red,0.3499641556227075,Orange,0.4857142857142859
108,5,18,22,Red,0.3508273377099593,Orange,0.4666666666666667
109,5,18,24,Red,0.3515178575842904,Orange,0.4545454545454546
110,5,18,26,Red,0.3515178575842904,Orange,0.4545454545454546
111,5,18,28,Red,0.3516617161372673,Orange,0.4400000000000001
112,5,18,30,Red,0.3499641556227075,Orange,0.4857142857142859
113,5,18,32,Red,0.3499641556227075,Orange,0.4857142857142859
114,5,18,34,Red,0.3499641556227075,Orange,0.4857142857142859
115,5,18,36,Red,0.3499641556227075,Orange,0.4857142857142859
116,5,18,38,Red,0.3499641556227075,Orange,0.4857142857142859
